回号,抽せん日,当せん番号,BOX,直近BOX3回
第0166回,1996/06/25,331,133,
第0167回,1996/06/28,233,233,第0151回
第0168回,1996/07/02,107,017,
第0169回,1996/07/05,351,135,第0123回
第0170回,1996/07/09,574,457,"第0017回, 第0032回"
第0171回,1996/07/12,679,679,"第0044回, 第0089回"
第0172回,1996/07/16,355,355,
第0173回,1996/07/19,581,158,
第0174回,1996/07/23,967,679,"第0044回, 第0089回, 第0171回"
第0175回,1996/07/26,683,368,"第0057回, 第0124回"
第0176回,1996/07/30,203,023,
第0177回,1996/08/02,845,458,"第0025回, 第0122回"
第0178回,1996/08/06,464,446,第0147回
第0179回,1996/08/09,168,168,"第0037回, 第0091回"
第0180回,1996/08/13,632,236,第0011回
第0181回,1996/08/16,890,089,第0060回
第0182回,1996/08/20,439,349,第0121回
第0183回,1996/08/23,589,589,第0029回
第0184回,1996/08/27,492,249,
第0185回,1996/08/30,882,288,"第0080回, 第0084回"
第0186回,1996/09/03,439,349,"第0121回, 第0182回"
第0187回,1996/09/06,975,579,第0092回
第0188回,1996/09/10,254,245,"第0061回, 第0073回, 第0108回"
第0189回,1996/09/13,199,199,第0156回
第0190回,1996/09/17,170,017,第0168回
第0191回,1996/09/20,424,244,
第0192回,1996/09/24,021,012,
第0193回,1996/09/27,656,566,
第0194回,1996/10/01,812,128,
第0195回,1996/10/04,819,189,"第0137回, 第0164回"
第0196回,1996/10/08,907,079,第0045回
第0197回,1996/10/11,728,278,第0055回
第0198回,1996/10/15,374,347,第0014回
第0199回,1996/10/18,269,269,"第0081回, 第0133回"
第0200回,1996/10/22,411,114,
第0201回,1996/10/25,176,167,第0112回
第0202回,1996/10/29,676,667,第0146回
第0203回,1996/11/01,093,039,第0024回
第0204回,1996/11/05,211,112,
第0205回,1996/11/08,531,135,"第0123回, 第0169回"
第0206回,1996/11/12,938,389,"第0038回, 第0160回"
第0207回,1996/11/15,413,134,
第0208回,1996/11/19,781,178,
第0209回,1996/11/22,920,029,第0069回
第0210回,1996/11/26,192,129,"第0018回, 第0023回"
第0211回,1996/11/29,022,022,第0048回
第0212回,1996/12/03,151,115,
第0213回,1996/12/06,502,025,"第0020回, 第0114回"
第0214回,1996/12/10,870,078,第0007回
第0215回,1996/12/13,215,125,"第0066回, 第0067回, 第0145回"
第0216回,1996/12/17,337,337,
第0217回,1996/12/20,712,127,第0127回
第0218回,1996/12/24,594,459,"第0101回, 第0144回"
第0219回,1996/12/27,260,026,"第0064回, 第0129回"
第0220回,1997/01/07,112,112,第0204回
第0221回,1997/01/10,514,145,
第0222回,1997/01/14,227,227,
第0223回,1997/01/17,333,333,第0035回
第0224回,1997/01/21,466,466,
第0225回,1997/01/24,751,157,第0099回
第0226回,1997/01/28,952,259,"第0119回, 第0136回, 第0159回"
第0227回,1997/01/31,188,188,
第0228回,1997/02/04,014,014,第0059回
第0229回,1997/02/07,409,049,第0125回
第0230回,1997/02/11,383,338,第0058回
第0231回,1997/02/14,523,235,
第0232回,1997/02/18,945,459,"第0101回, 第0144回, 第0218回"
第0233回,1997/02/21,065,056,"第0102回, 第0111回, 第0120回"
第0234回,1997/02/25,317,137,
第0235回,1997/02/28,582,258,第0019回
第0236回,1997/03/04,830,038,
第0237回,1997/03/07,648,468,"第0086回, 第0163回"
第0238回,1997/03/11,414,144,第0082回
第0239回,1997/03/14,741,147,"第0074回, 第0083回"
第0240回,1997/03/18,229,229,"第0013回, 第0043回"
第0241回,1997/03/21,400,004,
第0242回,1997/03/25,066,066,
第0243回,1997/03/28,608,068,第0106回
第0244回,1997/04/01,140,014,"第0059回, 第0228回"
第0245回,1997/04/04,827,278,"第0055回, 第0197回"
第0246回,1997/04/08,593,359,
