回号,抽せん日,当せん番号,BOX,直近BOX3回
第0143回,1996/04/05,3752,2357,
第0144回,1996/04/09,4681,1468,
第0145回,1996/04/12,8567,5678,
第0146回,1996/04/16,2115,1125,
第0147回,1996/04/19,2209,0229,
第0148回,1996/04/23,6901,0169,第0049回
第0149回,1996/04/26,7707,0777,
第0150回,1996/04/30,5825,2558,
第0151回,1996/05/03,3056,0356,
第0152回,1996/05/07,0225,0225,
第0153回,1996/05/10,5468,4568,
第0154回,1996/05/14,1470,0147,第0116回
第0155回,1996/05/17,0171,0117,第0004回
第0156回,1996/05/21,8957,5789,"第0042回, 第0051回"
第0157回,1996/05/24,9254,2459,
第0158回,1996/05/28,2579,2579,
第0159回,1996/05/31,4034,0344,
第0160回,1996/06/04,5741,1457,
第0161回,1996/06/07,6627,2667,
第0162回,1996/06/11,3588,3588,
第0163回,1996/06/14,2207,0227,第0099回
第0164回,1996/06/18,5492,2459,第0157回
第0165回,1996/06/21,8090,0089,
第0166回,1996/06/25,0007,0007,
第0167回,1996/06/28,8092,0289,第0066回
第0168回,1996/07/02,5739,3579,
第0169回,1996/07/05,4946,4469,
第0170回,1996/07/09,8695,5689,
第0171回,1996/07/12,4820,0248,
第0172回,1996/07/16,0744,0447,
第0173回,1996/07/19,6042,0246,第0105回
第0174回,1996/07/23,4544,4445,
第0175回,1996/07/26,8670,0678,第0055回
第0176回,1996/07/30,5994,4599,
第0177回,1996/08/02,0978,0789,
第0178回,1996/08/06,8734,3478,
第0179回,1996/08/09,3568,3568,
第0180回,1996/08/13,9989,8999,
第0181回,1996/08/16,8132,1238,
第0182回,1996/08/20,2057,0257,
第0183回,1996/08/23,6416,1466,
第0184回,1996/08/27,5570,0557,
第0185回,1996/08/30,7284,2478,
第0186回,1996/09/03,5010,0015,
第0187回,1996/09/06,4640,0446,
第0188回,1996/09/10,9167,1679,第0110回
第0189回,1996/09/13,7981,1789,
第0190回,1996/09/17,6332,2336,
第0191回,1996/09/20,7301,0137,
第0192回,1996/09/24,3371,1337,
第0193回,1996/09/27,5312,1235,
第0194回,1996/10/01,1745,1457,第0160回
第0195回,1996/10/04,8693,3689,
第0196回,1996/10/08,8316,1368,
第0197回,1996/10/11,2697,2679,
第0198回,1996/10/15,8234,2348,
第0199回,1996/10/18,7656,5667,第0030回
第0200回,1996/10/22,7441,1447,
第0201回,1996/10/25,2398,2389,
第0202回,1996/10/29,7202,0227,"第0099回, 第0163回"
第0203回,1996/11/01,2210,0122,
第0204回,1996/11/05,7832,2378,
第0205回,1996/11/08,5797,5779,
第0206回,1996/11/12,0382,0238,第0023回
第0207回,1996/11/15,7913,1379,
第0208回,1996/11/19,9170,0179,第0137回
第0209回,1996/11/22,6613,1366,
第0210回,1996/11/26,7158,1578,
第0211回,1996/11/29,5301,0135,第0043回
第0212回,1996/12/03,9475,4579,
第0213回,1996/12/06,7251,1257,第0034回
第0214回,1996/12/10,1449,1449,
第0215回,1996/12/13,2223,2223,
第0216回,1996/12/17,4695,4569,
第0217回,1996/12/20,4316,1346,
第0218回,1996/12/24,3698,3689,第0195回
第0219回,1996/12/27,6623,2366,
第0220回,1997/01/07,6684,4668,
第0221回,1997/01/10,2507,0257,第0182回
第0222回,1997/01/14,0887,0788,
第0223回,1997/01/17,1041,0114,第0115回
第0224回,1997/01/21,0239,0239,
第0225回,1997/01/24,4147,1447,第0200回
第0226回,1997/01/28,5886,5688,
第0227回,1997/01/31,5369,3569,
第0228回,1997/02/04,9889,8899,
第0229回,1997/02/07,9171,1179,
第0230回,1997/02/11,7411,1147,第0101回
第0231回,1997/02/14,7565,5567,
第0232回,1997/02/18,8532,2358,第0021回
第0233回,1997/02/21,1985,1589,第0033回
第0234回,1997/02/25,7671,1677,
第0235回,1997/02/28,4080,0048,第0072回
第0236回,1997/03/04,1493,1349,
第0237回,1997/03/07,5051,0155,
第0238回,1997/03/11,9401,0149,第0014回
第0239回,1997/03/14,0438,0348,第0031回
第0240回,1997/03/18,1173,1137,
第0241回,1997/03/21,0557,0557,第0184回
第0242回,1997/03/25,7754,4577,
第0243回,1997/03/28,7702,0277,
第0244回,1997/04/01,4612,1246,
第0245回,1997/04/04,2108,0128,
第0246回,1997/04/08,0747,0477,
第0247回,1997/04/11,0127,0127,
第0248回,1997/04/15,6178,1678,
第0249回,1997/04/18,6471,1467,
第0250回,1997/04/22,4590,0459,"第0070回, 第0127回"
第0251回,1997/04/25,6937,3679,
第0252回,1997/04/29,9871,1789,第0189回
第0253回,1997/05/02,9434,3449,第0098回
第0254回,1997/05/06,6805,0568,"第0062回, 第0084回"
第0255回,1997/05/09,6757,5677,第0126回
第0256回,1997/05/13,8575,5578,
第0257回,1997/05/16,0930,0039,
第0258回,1997/05/20,4714,1447,"第0200回, 第0225回"
第0259回,1997/05/23,5339,3359,第0109回
第0260回,1997/05/27,1203,0123,
第0261回,1997/05/30,2045,0245,"第0011回, 第0016回"
第0262回,1997/06/03,6628,2668,第0097回
第0263回,1997/06/06,4185,1458,
第0264回,1997/06/10,9888,8889,
第0265回,1997/06/13,4112,1124,
第0266回,1997/06/17,2310,0123,第0260回
第0267回,1997/06/20,5949,4599,第0176回
第0268回,1997/06/24,8375,3578,
第0269回,1997/06/27,0628,0268,
第0270回,1997/07/01,6023,0236,第0018回
第0271回,1997/07/04,3730,0337,
第0272回,1997/07/08,0613,0136,
第0273回,1997/07/11,2992,2299,
第0274回,1997/07/15,1026,0126,第0029回
第0275回,1997/07/18,0800,0008,
第0276回,1997/07/22,0576,0567,
第0277回,1997/07/25,0999,0999,
第0278回,1997/07/29,9303,0339,
第0279回,1997/08/01,0178,0178,
第0280回,1997/08/05,2937,2379,
第0281回,1997/08/08,4834,3448,
第0282回,1997/08/12,8882,2888,
第0283回,1997/08/15,8106,0168,
第0284回,1997/08/19,5086,0568,"第0062回, 第0084回, 第0254回"
第0285回,1997/08/22,0295,0259,
第0286回,1997/08/26,6670,0667,
第0287回,1997/08/29,1689,1689,
第0288回,1997/09/02,2867,2678,
第0289回,1997/09/05,6254,2456,第0121回
第0290回,1997/09/09,2990,0299,
第0291回,1997/09/12,7264,2467,
第0292回,1997/09/16,3009,0039,第0257回
第0293回,1997/09/19,8289,2889,
第0294回,1997/09/23,8516,1568,
第0295回,1997/09/26,2814,1248,
第0296回,1997/09/30,6809,0689,第0134回
第0297回,1997/10/03,9041,0149,"第0014回, 第0238回"
第0298回,1997/10/06,9472,2479,
第0299回,1997/10/08,2565,2556,
第0300回,1997/10/10,1116,1116,
第0301回,1997/10/13,7554,4557,第0032回
第0302回,1997/10/15,5049,0459,"第0070回, 第0127回, 第0250回"
第0303回,1997/10/17,5090,0059,
第0304回,1997/10/20,6444,4446,
第0305回,1997/10/22,7227,2277,
第0306回,1997/10/24,6279,2679,第0197回
第0307回,1997/10/27,4014,0144,
第0308回,1997/10/29,1879,1789,"第0189回, 第0252回"
第0309回,1997/10/31,6418,1468,第0144回
第0310回,1997/11/03,7215,1257,"第0034回, 第0213回"
第0311回,1997/11/05,8466,4668,第0220回
第0312回,1997/11/07,2796,2679,"第0197回, 第0306回"
第0313回,1997/11/10,4821,1248,第0295回
第0314回,1997/11/12,5118,1158,
第0315回,1997/11/14,9989,8999,第0180回
第0316回,1997/11/17,0535,0355,第0052回
第0317回,1997/11/19,1650,0156,
第0318回,1997/11/21,3614,1346,第0217回
第0319回,1997/11/24,7312,1237,
第0320回,1997/11/26,0552,0255,
第0321回,1997/11/28,5913,1359,
第0322回,1997/12/01,7178,1778,第0139回
第0323回,1997/12/03,7592,2579,第0158回
第0324回,1997/12/05,0354,0345,
第0325回,1997/12/08,1035,0135,"第0043回, 第0211回"
第0326回,1997/12/10,9759,5799,
第0327回,1997/12/12,1662,1266,
第0328回,1997/12/15,2919,1299,
第0329回,1997/12/17,3701,0137,第0191回
第0330回,1997/12/19,7499,4799,
第0331回,1997/12/22,2055,0255,第0320回
第0332回,1997/12/24,6460,0466,第0077回
第0333回,1997/12/26,2042,0224,
第0334回,1997/12/29,3776,3677,
第0335回,1998/01/05,9750,0579,第0022回
第0336回,1998/01/07,6557,5567,第0231回
第0337回,1998/01/09,5009,0059,第0303回
第0338回,1998/01/12,5560,0556,第0039回
第0339回,1998/01/14,6989,6899,
第0340回,1998/01/16,1574,1457,"第0160回, 第0194回"
第0341回,1998/01/19,3878,3788,
第0342回,1998/01/21,9295,2599,
第0343回,1998/01/23,3748,3478,第0178回
第0344回,1998/01/26,2789,2789,
第0345回,1998/01/28,9860,0689,"第0134回, 第0296回"
第0346回,1998/01/30,4483,3448,第0281回
第0347回,1998/02/02,6603,0366,
第0348回,1998/02/04,3531,1335,第0128回
第0349回,1998/02/06,6110,0116,
第0350回,1998/02/09,4652,2456,"第0121回, 第0289回"
第0351回,1998/02/11,0609,0069,
第0352回,1998/02/13,2134,1234,第0073回
第0353回,1998/02/16,8586,5688,第0226回
第0354回,1998/02/18,6499,4699,
第0355回,1998/02/20,1348,1348,
第0356回,1998/02/23,5075,0557,"第0184回, 第0241回"
第0357回,1998/02/25,6876,6678,
第0358回,1998/02/27,1426,1246,第0244回
第0359回,1998/03/02,9072,0279,
第0360回,1998/03/04,5574,4557,"第0032回, 第0301回"
第0361回,1998/03/06,3702,0237,
第0362回,1998/03/09,6312,1236,
第0363回,1998/03/11,0242,0224,第0333回
第0364回,1998/03/13,3686,3668,
第0365回,1998/03/16,6228,2268,第0095回
第0366回,1998/03/18,6907,0679,
第0367回,1998/03/20,4980,0489,"第0027回, 第0071回"
第0368回,1998/03/23,8573,3578,第0268回
第0369回,1998/03/25,1059,0159,
第0370回,1998/03/27,0129,0129,
第0371回,1998/03/30,6228,2268,"第0095回, 第0365回"
第0372回,1998/04/01,6526,2566,
第0373回,1998/04/03,8134,1348,第0355回
第0374回,1998/04/06,5111,1115,
第0375回,1998/04/08,1128,1128,
第0376回,1998/04/10,5022,0225,第0152回
第0377回,1998/04/13,4204,0244,
第0378回,1998/04/15,1893,1389,第0057回
第0379回,1998/04/17,1620,0126,"第0029回, 第0274回"
第0380回,1998/04/20,0941,0149,"第0014回, 第0238回, 第0297回"
第0381回,1998/04/22,0256,0256,第0005回
第0382回,1998/04/24,3430,0334,
第0383回,1998/04/27,2042,0224,"第0333回, 第0363回"
第0384回,1998/04/29,8433,3348,
第0385回,1998/05/01,0034,0034,
第0386回,1998/05/04,6560,0566,第0133回
第0387回,1998/05/06,8301,0138,
第0388回,1998/05/08,0154,0145,
第0389回,1998/05/11,5201,0125,
第0390回,1998/05/13,0307,0037,
第0391回,1998/05/15,8369,3689,"第0195回, 第0218回"
第0392回,1998/05/18,3779,3779,
第0393回,1998/05/20,2957,2579,"第0158回, 第0323回"
第0394回,1998/05/22,9626,2669,
第0395回,1998/05/25,3829,2389,第0201回
第0396回,1998/05/27,2002,0022,
第0397回,1998/05/29,9348,3489,
第0398回,1998/06/01,7143,1347,
第0399回,1998/06/03,0884,0488,
第0400回,1998/06/05,6980,0689,"第0134回, 第0296回, 第0345回"
第0401回,1998/06/08,2997,2799,
第0402回,1998/06/10,9570,0579,"第0022回, 第0335回"
第0403回,1998/06/12,6739,3679,第0251回
第0404回,1998/06/15,9332,2339,
第0405回,1998/06/17,3337,3337,
第0406回,1998/06/19,9698,6899,第0339回
第0407回,1998/06/22,6700,0067,
第0408回,1998/06/24,9477,4779,
第0409回,1998/06/26,0422,0224,"第0333回, 第0363回, 第0383回"
第0410回,1998/06/29,5352,2355,
第0411回,1998/07/01,6891,1689,第0287回
第0412回,1998/07/03,9995,5999,
第0413回,1998/07/06,3786,3678,
第0414回,1998/07/08,2154,1245,
第0415回,1998/07/10,3354,3345,
第0416回,1998/07/13,4123,1234,"第0073回, 第0352回"
第0417回,1998/07/15,8840,0488,第0399回
第0418回,1998/07/17,4637,3467,第0013回
第0419回,1998/07/20,9002,0029,
第0420回,1998/07/22,6237,2367,
第0421回,1998/07/24,9088,0889,
第0422回,1998/07/27,9683,3689,"第0195回, 第0218回, 第0391回"
第0423回,1998/07/29,3149,1349,第0236回
第0424回,1998/07/31,8991,1899,"第0056回, 第0065回"
第0425回,1998/08/03,3914,1349,"第0236回, 第0423回"
第0426回,1998/08/05,8550,0558,
第0427回,1998/08/07,4521,1245,第0414回
第0428回,1998/08/10,9230,0239,第0224回
第0429回,1998/08/12,4532,2345,
第0430回,1998/08/14,4731,1347,第0398回
第0431回,1998/08/17,9901,0199,第0140回
第0432回,1998/08/19,5776,5677,"第0126回, 第0255回"
第0433回,1998/08/21,9200,0029,第0419回
第0434回,1998/08/24,4288,2488,
第0435回,1998/08/26,5654,4556,第0025回
第0436回,1998/08/28,9945,4599,"第0176回, 第0267回"
第0437回,1998/08/31,5711,1157,
第0438回,1998/09/02,5473,3457,第0118回
第0439回,1998/09/04,1580,0158,
第0440回,1998/09/07,2548,2458,第0006回
第0441回,1998/09/09,5309,0359,"第0007回, 第0107回"
第0442回,1998/09/11,6431,1346,"第0217回, 第0318回"
第0443回,1998/09/14,3151,1135,
第0444回,1998/09/16,9922,2299,第0273回
第0445回,1998/09/18,9657,5679,
第0446回,1998/09/21,4590,0459,"第0127回, 第0250回, 第0302回"
第0447回,1998/09/23,0121,0112,
第0448回,1998/09/25,4356,3456,
第0449回,1998/09/28,7341,1347,"第0398回, 第0430回"
第0450回,1998/09/30,1983,1389,"第0057回, 第0378回"
第0451回,1998/10/02,1224,1224,
第0452回,1998/10/05,1950,0159,第0369回
第0453回,1998/10/07,2750,0257,"第0182回, 第0221回"
第0454回,1998/10/09,5357,3557,
第0455回,1998/10/12,0093,0039,"第0257回, 第0292回"
第0456回,1998/10/14,6719,1679,"第0110回, 第0188回"
第0457回,1998/10/16,7893,3789,
第0458回,1998/10/19,0912,0129,第0370回
第0459回,1998/10/21,7228,2278,
第0460回,1998/10/23,5963,3569,第0227回
第0461回,1998/10/26,9837,3789,第0457回
第0462回,1998/10/28,8955,5589,
第0463回,1998/10/30,5905,0559,
第0464回,1998/11/02,6534,3456,第0448回
第0465回,1998/11/04,6933,3369,
第0466回,1998/11/06,6081,0168,第0283回
第0467回,1998/11/09,3083,0338,
第0468回,1998/11/11,8319,1389,"第0057回, 第0378回, 第0450回"
第0469回,1998/11/13,0051,0015,第0186回
第0470回,1998/11/16,9274,2479,第0298回
第0471回,1998/11/18,1782,1278,第0092回
第0472回,1998/11/20,4070,0047,
第0473回,1998/11/23,8571,1578,第0210回
第0474回,1998/11/25,0941,0149,"第0238回, 第0297回, 第0380回"
第0475回,1998/11/27,0161,0116,第0349回
第0476回,1998/11/30,7466,4667,
第0477回,1998/12/02,9699,6999,
第0478回,1998/12/04,6768,6678,第0357回
第0479回,1998/12/07,7788,7788,
第0480回,1998/12/09,5669,5669,
第0481回,1998/12/11,2952,2259,
第0482回,1998/12/14,5902,0259,第0285回
第0483回,1998/12/16,7316,1367,
第0484回,1998/12/18,0189,0189,
第0485回,1998/12/21,6835,3568,第0179回
第0486回,1998/12/23,9168,1689,"第0287回, 第0411回"
第0487回,1998/12/25,6231,1236,第0362回
第0488回,1998/12/28,3307,0337,第0271回
第0489回,1998/12/30,9888,8889,第0264回
第0490回,1999/01/04,7509,0579,"第0022回, 第0335回, 第0402回"
第0491回,1999/01/06,0031,0013,第0119回
第0492回,1999/01/08,2596,2569,
第0493回,1999/01/11,5494,4459,
第0494回,1999/01/13,1564,1456,第0100回
第0495回,1999/01/15,0415,0145,第0388回
第0496回,1999/01/18,9541,1459,
第0497回,1999/01/20,5227,2257,
第0498回,1999/01/22,5212,1225,
第0499回,1999/01/25,9236,2369,
第0500回,1999/01/27,4579,4579,第0212回
第0501回,1999/01/29,3070,0037,第0390回
第0502回,1999/02/01,5967,5679,第0445回
第0503回,1999/02/03,4197,1479,
第0504回,1999/02/05,7382,2378,第0204回
第0505回,1999/02/08,6779,6779,第0036回
第0506回,1999/02/10,5246,2456,"第0121回, 第0289回, 第0350回"
第0507回,1999/02/12,3175,1357,
第0508回,1999/02/15,0907,0079,第0003回
第0509回,1999/02/17,0965,0569,第0093回
第0510回,1999/02/19,5940,0459,"第0250回, 第0302回, 第0446回"
第0511回,1999/02/22,1258,1258,
第0512回,1999/02/24,0998,0899,
第0513回,1999/02/26,0069,0069,第0351回
第0514回,1999/03/01,9036,0369,第0106回
第0515回,1999/03/03,0871,0178,第0279回
第0516回,1999/03/05,3421,1234,"第0073回, 第0352回, 第0416回"
第0517回,1999/03/08,7362,2367,第0420回
第0518回,1999/03/10,2664,2466,第0009回
第0519回,1999/03/12,8910,0189,第0484回
第0520回,1999/03/15,8225,2258,
第0521回,1999/03/17,8242,2248,
第0522回,1999/03/19,9677,6779,"第0036回, 第0505回"
第0523回,1999/03/22,4761,1467,第0249回
第0524回,1999/03/24,4056,0456,
第0525回,1999/03/26,3807,0378,
第0526回,1999/03/29,7333,3337,第0405回
第0527回,1999/03/31,8966,6689,
第0528回,1999/04/02,6564,4566,
第0529回,1999/04/05,2644,2446,
第0530回,1999/04/07,2709,0279,第0359回
第0531回,1999/04/09,4139,1349,"第0236回, 第0423回, 第0425回"
第0532回,1999/04/12,9790,0799,
第0533回,1999/04/14,9669,6699,
第0534回,1999/04/16,0771,0177,第0082回
第0535回,1999/04/19,9568,5689,第0170回
第0536回,1999/04/21,5950,0559,第0463回
第0537回,1999/04/23,8622,2268,"第0095回, 第0365回, 第0371回"
第0538回,1999/04/26,5225,2255,
第0539回,1999/04/28,9778,7789,
第0540回,1999/04/30,8966,6689,第0527回
第0541回,1999/05/03,2787,2778,
第0542回,1999/05/05,5824,2458,"第0006回, 第0440回"
第0543回,1999/05/07,6489,4689,第0129回
第0544回,1999/05/10,6865,5668,
第0545回,1999/05/12,2253,2235,
第0546回,1999/05/14,3053,0335,第0081回
第0547回,1999/05/17,7623,2367,"第0420回, 第0517回"
第0548回,1999/05/19,9090,0099,
第0549回,1999/05/21,1094,0149,"第0297回, 第0380回, 第0474回"
第0550回,1999/05/24,9033,0339,第0278回
第0551回,1999/05/26,5623,2356,
第0552回,1999/05/28,9806,0689,"第0296回, 第0345回, 第0400回"
第0553回,1999/05/31,2809,0289,"第0066回, 第0167回"
第0554回,1999/06/02,7731,1377,
第0555回,1999/06/04,9888,8889,"第0264回, 第0489回"
第0556回,1999/06/07,8945,4589,
第0557回,1999/06/09,6991,1699,
第0558回,1999/06/11,7787,7778,
第0559回,1999/06/14,7671,1677,第0234回
第0560回,1999/06/16,6054,0456,第0524回
第0561回,1999/06/18,0524,0245,"第0011回, 第0016回, 第0261回"
第0562回,1999/06/21,7764,4677,
第0563回,1999/06/23,3389,3389,
第0564回,1999/06/25,8722,2278,第0459回
第0565回,1999/06/28,7936,3679,"第0251回, 第0403回"
第0566回,1999/06/30,0313,0133,
第0567回,1999/07/02,5236,2356,第0551回
第0568回,1999/07/05,5519,1559,
第0569回,1999/07/07,9009,0099,第0548回
第0570回,1999/07/09,5700,0057,
第0571回,1999/07/12,3237,2337,
第0572回,1999/07/14,2183,1238,第0181回
第0573回,1999/07/16,0745,0457,第0048回
第0574回,1999/07/19,5910,0159,"第0369回, 第0452回"
第0575回,1999/07/21,8093,0389,
第0576回,1999/07/23,2153,1235,第0193回
第0577回,1999/07/26,9461,1469,"第0015回, 第0037回"
第0578回,1999/07/28,9749,4799,第0330回
第0579回,1999/07/30,3556,3556,
第0580回,1999/08/02,6531,1356,
第0581回,1999/08/04,9863,3689,"第0218回, 第0391回, 第0422回"
第0582回,1999/08/06,7685,5678,第0145回
第0583回,1999/08/09,9919,1999,
第0584回,1999/08/11,3423,2334,
第0585回,1999/08/13,7041,0147,"第0116回, 第0154回"
第0586回,1999/08/16,7272,2277,第0305回
第0587回,1999/08/18,8200,0028,
第0588回,1999/08/20,0305,0035,
第0589回,1999/08/23,1259,1259,第0047回
第0590回,1999/08/25,1069,0169,"第0049回, 第0148回"
第0591回,1999/08/27,3308,0338,第0467回
第0592回,1999/08/30,3387,3378,
第0593回,1999/09/01,3576,3567,
第0594回,1999/09/03,1050,0015,"第0186回, 第0469回"
第0595回,1999/09/06,0450,0045,
第0596回,1999/09/08,8251,1258,第0511回
第0597回,1999/09/10,8772,2778,第0541回
第0598回,1999/09/13,4632,2346,第0010回
第0599回,1999/09/15,7438,3478,"第0178回, 第0343回"
第0600回,1999/09/17,4802,0248,第0171回
第0601回,1999/09/20,5068,0568,"第0084回, 第0254回, 第0284回"
第0602回,1999/09/22,7915,1579,
第0603回,1999/09/24,4344,3444,
第0604回,1999/09/27,1615,1156,第0123回
第0605回,1999/09/29,8388,3888,
第0606回,1999/10/01,5307,0357,
第0607回,1999/10/04,1996,1699,第0557回
第0608回,1999/10/06,8173,1378,
第0609回,1999/10/08,4102,0124,
第0610回,1999/10/11,3141,1134,
第0611回,1999/10/13,8486,4688,
第0612回,1999/10/15,1148,1148,
第0613回,1999/10/18,8880,0888,
第0614回,1999/10/20,4293,2349,
第0615回,1999/10/22,1271,1127,
第0616回,1999/10/25,3487,3478,"第0178回, 第0343回, 第0599回"
第0617回,1999/10/27,7732,2377,
第0618回,1999/10/29,6142,1246,"第0244回, 第0358回"
第0619回,1999/11/01,6319,1369,第0113回
第0620回,1999/11/03,0524,0245,"第0016回, 第0261回, 第0561回"
第0621回,1999/11/05,4693,3469,
第0622回,1999/11/08,9321,1239,"第0063回, 第0141回"
第0623回,1999/11/10,6024,0246,"第0105回, 第0173回"
第0624回,1999/11/12,7786,6778,
第0625回,1999/11/15,7057,0577,第0008回
第0626回,1999/11/17,7414,1447,"第0200回, 第0225回, 第0258回"
第0627回,1999/11/19,4845,4458,
第0628回,1999/11/22,9825,2589,"第0104回, 第0108回"
第0629回,1999/11/24,4367,3467,"第0013回, 第0418回"
第0630回,1999/11/26,9805,0589,
第0631回,1999/11/29,7920,0279,"第0359回, 第0530回"
第0632回,1999/12/01,4196,1469,"第0015回, 第0037回, 第0577回"
第0633回,1999/12/03,9432,2349,第0614回
第0634回,1999/12/06,5065,0556,"第0039回, 第0338回"
第0635回,1999/12/08,2609,0269,
第0636回,1999/12/10,8966,6689,"第0527回, 第0540回"
第0637回,1999/12/13,1805,0158,第0439回
第0638回,1999/12/15,9379,3799,
第0639回,1999/12/17,8230,0238,"第0023回, 第0206回"
