回号,抽せん日,当せん番号,BOX,直近BOX3回
第0001回,1994/10/07,1149,1149,
第0002回,1994/10/14,7921,1279,
第0003回,1994/10/21,0097,0079,
第0004回,1994/10/28,0171,0117,
第0005回,1994/11/04,0265,0256,
第0006回,1994/11/11,5482,2458,
第0007回,1994/11/18,3950,0359,
第0008回,1994/11/25,7507,0577,
第0009回,1994/12/02,2664,2466,
第0010回,1994/12/09,2436,2346,
第0011回,1994/12/16,0254,0245,
第0012回,1994/12/23,9722,2279,
第0013回,1994/12/30,4673,3467,
第0014回,1995/01/06,1409,0149,
第0015回,1995/01/10,6419,1469,
第0016回,1995/01/13,0524,0245,第0011回
第0017回,1995/01/17,8697,6789,
第0018回,1995/01/20,3062,0236,
第0019回,1995/01/24,1013,0113,
第0020回,1995/01/27,2264,2246,
第0021回,1995/01/31,3825,2358,
第0022回,1995/02/03,7059,0579,
第0023回,1995/02/07,0283,0238,
第0024回,1995/02/10,2321,1223,
第0025回,1995/02/14,4556,4556,
第0026回,1995/02/17,3360,0336,
第0027回,1995/02/21,4908,0489,
第0028回,1995/02/24,3466,3466,
第0029回,1995/02/28,2061,0126,
第0030回,1995/03/03,7566,5667,
第0031回,1995/03/07,4830,0348,
第0032回,1995/03/10,4575,4557,
第0033回,1995/03/14,5819,1589,
第0034回,1995/03/17,7521,1257,
第0035回,1995/03/21,4703,0347,
第0036回,1995/03/24,9776,6779,
第0037回,1995/03/28,6941,1469,第0015回
第0038回,1995/03/31,8634,3468,
第0039回,1995/04/04,5560,0556,
第0040回,1995/04/07,5584,4558,
第0041回,1995/04/11,0228,0228,
第0042回,1995/04/14,9875,5789,
第0043回,1995/04/18,5031,0135,
第0044回,1995/04/21,4742,2447,
第0045回,1995/04/25,5543,3455,
第0046回,1995/04/28,9476,4679,
第0047回,1995/05/02,9125,1259,
第0048回,1995/05/05,5074,0457,
第0049回,1995/05/09,6910,0169,
第0050回,1995/05/12,0021,0012,
第0051回,1995/05/16,7598,5789,第0042回
第0052回,1995/05/19,5053,0355,
第0053回,1995/05/23,9040,0049,
第0054回,1995/05/26,3895,3589,
第0055回,1995/05/30,6780,0678,
第0056回,1995/06/02,9981,1899,
第0057回,1995/06/06,1398,1389,
第0058回,1995/06/09,3042,0234,
第0059回,1995/06/13,8885,5888,
第0060回,1995/06/16,6373,3367,
第0061回,1995/06/20,7882,2788,
第0062回,1995/06/23,5608,0568,
第0063回,1995/06/27,9123,1239,
第0064回,1995/06/30,8844,4488,
第0065回,1995/07/04,9819,1899,第0056回
第0066回,1995/07/07,2098,0289,
第0067回,1995/07/11,4881,1488,
第0068回,1995/07/14,4214,1244,
第0069回,1995/07/18,2792,2279,第0012回
第0070回,1995/07/21,5094,0459,
第0071回,1995/07/25,0948,0489,第0027回
第0072回,1995/07/28,0084,0048,
第0073回,1995/08/01,2341,1234,
第0074回,1995/08/04,3011,0113,第0019回
第0075回,1995/08/08,2332,2233,
第0076回,1995/08/11,5531,1355,
第0077回,1995/08/15,6406,0466,
第0078回,1995/08/18,6536,3566,
第0079回,1995/08/22,1742,1247,
第0080回,1995/08/25,0437,0347,第0035回
第0081回,1995/08/29,3503,0335,
第0082回,1995/09/01,1770,0177,
第0083回,1995/09/05,9047,0479,
第0084回,1995/09/08,6580,0568,第0062回
第0085回,1995/09/12,2624,2246,第0020回
第0086回,1995/09/15,0684,0468,
第0087回,1995/09/19,7676,6677,
第0088回,1995/09/22,2562,2256,
第0089回,1995/09/26,1614,1146,
第0090回,1995/09/29,7696,6679,
第0091回,1995/10/03,0330,0033,
第0092回,1995/10/06,8721,1278,
第0093回,1995/10/10,9056,0569,
第0094回,1995/10/13,8526,2568,
第0095回,1995/10/17,6282,2268,
第0096回,1995/10/20,6992,2699,
第0097回,1995/10/24,2866,2668,
第0098回,1995/10/27,4943,3449,
第0099回,1995/10/31,2072,0227,
第0100回,1995/11/03,5614,1456,
第0101回,1995/11/07,1471,1147,
第0102回,1995/11/10,4036,0346,
第0103回,1995/11/14,8050,0058,
第0104回,1995/11/17,2958,2589,
第0105回,1995/11/21,6204,0246,
第0106回,1995/11/24,9063,0369,
第0107回,1995/11/28,0539,0359,第0007回
第0108回,1995/12/01,9852,2589,第0104回
第0109回,1995/12/05,3593,3359,
第0110回,1995/12/08,1697,1679,
第0111回,1995/12/12,8011,0118,
第0112回,1995/12/15,4191,1149,第0001回
第0113回,1995/12/19,9163,1369,
第0114回,1995/12/22,3943,3349,
第0115回,1995/12/26,4101,0114,
第0116回,1995/12/29,7410,0147,
第0117回,1996/01/05,2689,2689,
第0118回,1996/01/09,7435,3457,
第0119回,1996/01/12,3010,0013,
第0120回,1996/01/16,3583,3358,
第0121回,1996/01/19,2645,2456,
第0122回,1996/01/23,8578,5788,
第0123回,1996/01/26,1165,1156,
第0124回,1996/01/30,0942,0249,
第0125回,1996/02/02,5762,2567,
第0126回,1996/02/06,6577,5677,
第0127回,1996/02/09,9054,0459,第0070回
第0128回,1996/02/13,3315,1335,
第0129回,1996/02/16,9846,4689,
第0130回,1996/02/20,4092,0249,第0124回
第0131回,1996/02/23,8831,1388,
第0132回,1996/02/27,5566,5566,
第0133回,1996/03/01,5660,0566,
第0134回,1996/03/05,6890,0689,
第0135回,1996/03/08,3409,0349,
第0136回,1996/03/12,4023,0234,第0058回
第0137回,1996/03/15,9017,0179,
第0138回,1996/03/19,4073,0347,"第0035回, 第0080回"
第0139回,1996/03/22,7871,1778,
第0140回,1996/03/26,1099,0199,
第0141回,1996/03/29,2139,1239,第0063回
第0142回,1996/04/02,2516,1256,
